x_m;y_m
10.8595;11.6012
11.0594;11.6089
11.2541;11.5630
11.4295;11.4669
11.5729;11.3275
11.6740;11.1550
11.7254;10.9617
11.7235;10.7617
11.6683;10.5695
11.5638;10.3989
11.4177;10.2624
11.2404;10.1697
11.0449;10.1277
10.8452;10.1393
10.6559;10.2037
10.4906;10.3163
10.3612;10.4689
10.2773;10.6504
10.2447;10.8477
10.2660;11.0466
10.3395;11.2326
10.4599;11.3923
10.6185;11.5141
10.8039;11.5892
11.0025;11.6122
11.2002;11.5814
11.3824;11.4990
11.5361;11.3710
11.6501;11.2067
11.7162;11.0179
11.7295;10.8183
11.6892;10.6224
11.5981;10.4444
11.4628;10.2971
11.2932;10.1911
11.1015;10.1342
10.9015;10.1305
10.7078;10.1803
10.5343;10.2799
10.3937;10.4221
10.2961;10.5966
10.2485;10.7909
10.2545;10.9908
10.3135;11.1819
10.4214;11.3503
10.5702;11.4839
10.7493;11.5730
10.9456;11.6111
11.1450;11.5955
11.3330;11.5273
11.4960;11.4115
11.6223;11.2564
11.7026;11.0732
11.7312;10.8752
11.7060;10.6768
11.6288;10.4923
11.5052;10.3351
11.3442;10.2165
11.1574;10.1451
10.9583;10.1261
10.7613;10.1609
10.5807;10.2469
10.4296;10.3779
10.3190;10.5445
10.2567;10.7345
10.2473;10.9343
10.2915;11.1294
10.3862;11.3056
10.5244;11.4502
10.6961;11.5527
10.8889;11.6057
11.0889;11.6054
11.2817;11.5520
11.4532;11.4492
11.5911;11.3043
11.6854;11.1279
11.7292;10.9328
11.7195;10.7330
11.6568;10.5431
11.5458;10.3767
11.3945;10.2460
11.2137;10.1603
11.0167;10.1259
10.8177;10.1453
10.6310;10.2171
10.4702;10.3360
10.3469;10.4935
10.2700;10.6781
10.2452;10.8766
10.2742;11.0745
10.3549;11.2575
10.4814;11.4124
10.6447;11.5279
10.8328;11.5957
11.0322;11.6109
11.2285;11.5724
11.4074;11.4830
11.5560;11.3491
11.6635;11.1805
11.7222;10.9893
11.7277;10.7894
11.6798;10.5952
11.5818;10.4208
11.4409;10.2789
11.2673;10.1796
11.0735;10.1303
10.8735;10.1344
10.6819;10.1916
10.5125;10.2979
10.3775;10.4455
10.2867;10.6237
10.2468;10.8197
10.2605;11.0192
10.3270;11.2078
10.4413;11.3719
10.5952;11.4996
10.7776;11.5817
10.9753;11.6121
11.1739;11.5887
11.3592;11.5133
11.5176;11.3912
11.6377;11.2312
11.7108;11.0451
11.7316;10.8462
11.6987;10.6489
11.6144;10.4675
11.4848;10.3152
11.3192;10.2030
11.1298;10.1389
10.9301;10.1277
10.7346;10.1701
10.5576;10.2631
10.4117;10.3999
10.3076;10.5707
10.2527;10.7630
10.2512;10.9630
10.3030;11.1562
10.4044;11.3286
10.5481;11.4677
10.7237;11.5634
10.9185;11.6089
11.1183;11.6008
11.3088;11.5400
11.4762;11.4305
11.6084;11.2804
11.6958;11.1005
11.7320;10.9038
11.7145;10.7046
11.6445;10.5172
11.5271;10.3553
11.3708;10.2305
11.1869;10.1520
10.9887;10.1253
10.7905;10.1524
10.6068;10.2313
10.4507;10.3564
10.3336;10.5185
10.2640;10.7060
10.2469;10.9053
10.2836;11.1019
10.3713;11.2816
10.5038;11.4315
10.6714;11.5406
10.8620;11.6011
11.0619;11.6085
11.2565;11.5624
11.4318;11.4661
11.5751;11.3266
11.6759;11.1539
11.7271;10.9606
